course_code,course_name,professor,semester,course_description,credits,room_and_schedule,satisfies_core_requirement,prerequisites,corequisites,cross_listed_with,student_level
ENGL1750.01,Plants and Power: Reimagining Colonial Science through World Literature in English,"Goel, Gayathri",Spring 2026,This is an Enduring Question course and is open to FRESHM EN only. You must take both,,,,,,,
ENGL1750,"courses examine the relationship between people, plants, and power through the literature and",,,"history of the English-speaking world. We consider how plant knowledge is intertwined with imperialism and defines power relations between communities, and ask how such knowledge is constructed, valued, and deployed. In addition to recognizing how knowledge about the plant world is created and communicated, we will use this knowledge to challenge human-centered perspectives and look more broadly at the non-human actors of the natural world. By examining historical and literary texts in relation to the disciplines of science, botany, horticulture, and agriculture, we seek to understand how humanity has shared our existence with plants, and how we can inhabit the world responsibly in the age of extinction and climate change.",3,Stokes Hall 103S M WF 12:00 Noon-12:50PM,"Literature,Cultural Diversity",None,None,None,Undergraduate
ENGL2163.01,Triumphant Calamity: The Modern Condition,"Bowles, Daniel J",Spring 2026,"In this seminar we explore the rich time period of literary modernism (1900-1930) through German literature, film, and art. Our aim is to articulate how arts and letters variously reckoned with and gave voice to the aesthetic, historical, social, and political upheavals of an era wracked by dramatically new paradigms for modern life: technological advancement but horrific new wars, unimagined knowledge but a questioning of the very means by which we know, a novel science of the soul but growing alienation from reality and the self, new rights and privileges for the disenfranchised but stark disparities in urban and rural life. Readings include works by Nietzsche, Rilke, Kafka, M ann, Freud, and Keun, and screenings include films by Lang, M urnau, Wiene, and Sagan.",3,Stokes Hall 205S M WF 01:00PM -01:50PM,Literature,None,None,GERM 2163,Undergraduate
ENGL2228.01,Twentieth-Century Russian Literature (in Translation),"Shrayer, Maxim",Spring 2026,"Satisfies the literature core requirement and the cultural diversity requirement.Landmarks of Russian-language literature from the Russian Empire, the USSR, and the emigrations, in the context of the twentieth centurys turbulent history. Works by Akhmatova, Brodsky, Bunin, Gladkov, M ayakovsky, Selvinsky, Shkovsky, Sologub, Solzhenitsyn, Trifonov and others. Conducted entirely in English. All readings are in English. Students of Russian contribute their expertise. No prerequisites.",3,Lyons Hall 202 TuTh 12:00 Noon-01:15PM,"Cultural Diversity,Literature",None,None,SLAV2173,Undergraduate
ENGL2882.01,"Uganda and the World: Literature, Culture, and History","Kahyana, Sylvester Danson",Spring 2026,"This course examines the literature, and culture of Uganda, a nation whose rich history and culturalproduction offer a lens through which to explore contemporary global issues. We examine Uganda's interactions with the world with an emphasis on her contribution to world 'projects' (for distance, refugeecrises and the war against terror) and debates (for instance, local approaches to combating epidemics, postcoloniality/decoloniality, and sexualities).We shall also examine global imaginaries of Uganda, her responses to these imaginaries, and the evolution and experiences of the Ugandan diaspora. Finally, we will think together about the challenges of discussing Uganda in the global context. The course will deploy a range of approaches and assignments, such as lectures, guest lectures by famous Ugandans and Ugandanists, exhibitions, and projects.",3,Campion Hall 231 M WF 12:00 Noon-12:50PM,Literature,None,None,AADS2882,Undergraduate
FREN3307.01,Great Books in French,"Newmark, Kevin",Spring 2026,"Conducted in French. Open to majors, prospective majors and interested non-majors. Fulfills one of the four 3000-level requirements for the French major and is designed to prepare students for 4000-level courses in literature and culture.. An introduction to the history of the French literary tradition through a selection of great works on a specific theme. The selected works will be studied from a variety of literary, historical, and cultural perspectives. This course will prepare students for 4000-level courses in literature and culture. CCR I (FREN2209) may enroll with instructor's permission.",3,Gasson Hall 201 TuTh 03:00PM -04:15PM,Literature,French CCR II (FREN2210). Students with just four years of high school French or,None,None,Undergraduate
FREN3393.01,Life at the Limit: Narratives of Transformation,"Kearney, Anne D",Spring 2026,"This course is conducted in English.. This course is conducted in English. This course will consider texts that follow the path of a person making a journey from alienation, loss, or hardship through a turning point. We will read stories of people who, caught in a major life crisis, still manage to keep a deep connection with themselves and the world, people who ultimately survive to share their experience with others in writing. Students will read correspondence between Theo and Vincent Van Gogh, a short story by Fyodor Dostoevsky, excerpts from Les M isérables, a memoir by Primo Levi, and various texts by Albert Camus and several other authors. Satisfies Core Requirement for: Literature",3,Stokes Hall 201S M WF 01:00PM -01:50PM,Literature,None,None,None,Undergraduate
GERM2110.01,Faust! A Deal with the Devil,"Andersen, Sonya",Spring 2026,"The story of Dr. Faustus, a learned old scholar who makes a pact with the devil, has long fascinated writers and artists and still captivates our imaginations today. In this course, students will examine the major works inspired by the legend, from Christopher M arlowe's path-breaking play to Goethe's masterpiece. Students will read fiction that employs Faustian themes as vehicles for political and spiritual dissent (Gotthelf, Bulgakov, M iller). Students will engage with musical pieces, artworks, and films that explore the many facets of Faust. In an age where the promise of limitless information is more than tempting, studying these Faustian protagonists - those who seek infinite gain while disregarding present or future consequences - can help us better understand and reclaim our own predicament.",3,Stokes Hall 103S TuTh 10:30AM -11:45AM,Literature,None,None,None,Undergraduate
GERM2163.01,Triumphant Calamity: The Modern Condition,"Bowles, Daniel J",Spring 2026,"In this seminar we explore the rich time period of literary modernism (1900-1930) through German literature, film, and art. Our aim is to articulate how arts and letters variously reckoned with and gave voice to the aesthetic, historical, social, and political upheavals of an era wracked by dramatically new paradigms for modern life: technological advancement but horrific new wars, unimagined knowledge but a questioning of the very means by which we know, a novel science of the soul but growing alienation from reality and the self, new rights and privileges for the disenfranchised but stark disparities in urban and rural life. Readings include works by Nietzsche, Rilke, Kafka, M ann, Freud, and Keun, and screenings include films by Lang, M urnau, Wiene, and Sagan.",3,Stokes Hall 205S M WF 01:00PM -01:50PM,Literature,None,None,ENGL2163,Undergraduate
GERM2200.01,The German Literary Legacy,"Block, Nicholas",Spring 2026,"A survey of German literature in translation from the late 18th century to the present. Representative texts in the German language from different literary periods and countries will be brought into dialogue with each other to examine distinctive literary styles and thematic preoccupations of German literature. We will investigate the representation of shifting societal values, conceptions of nature and identity, figures on the margins of society, and intergenerational conflict. Assignments and class discussion will be in English. Authors will vary according to instructor, but we focus on Nobel Prize winners and books that made a cultural splash in the German-speaking world.",3,Carney Hall 303 TuTh 01:30PM -02:45PM,Literature,None,None,None,Undergraduate
PHIL1106.01,Modernism and the Arts II/Perspectives II,"Hanly, Peter C",Spring 2026,See course description under UN 104.,3,Stokes Hall 211S M W 03:00PM -04:15PM,Literature,None,UNAS1107,None,Undergraduate
SLAV2173.01,Twentieth-Century Russian Literature (in Translation),"Shrayer, Maxim",Spring 2026,"Satisfies the literature core requirement and the cultural diversity requirement.Landmarks of Russian-language literature from the Russian Empire, the USSR, and the emigrations, in the context of the twentieth centurys turbulent history. Works by Akhmatova, Brodsky, Bunin, Gladkov, M ayakovsky, Selvinsky, Shkovsky, Sologub, Solzhenitsyn, Trifonov and others. Conducted entirely in English. All readings are in English. Students of Russian contribute their expertise. No prerequisites.",3,Lyons Hall 202 TuTh 12:00 Noon-01:15PM,"Cultural Diversity,Literature",None,None,ENGL2228,Undergraduate
SPAN3395.01,Contextos: Introduction to Literary Analysis in Spanish,"Castano, Martha L",Spring 2026,"Contextos introduces students to the analysis of a wide range of Hispanic texts, including genres such as poetry, narrative, drama, essay, and film. Special attention to written work and discussion allows them to become familiar with the concepts and terminology essential for original critical thinking.",3,Fulton Hall 310 M WF 10:00AM -10:50AM,Literature,SPAN3392 or instructor's permission,None,None,Undergraduate
SPAN3395.03,Contextos: Introduction to Literary Analysis in Spanish,"Castano, Martha L",Spring 2026,"Contextos introduces students to the analysis of a wide range of Hispanic texts, including genres such as poetry, narrative, drama, essay, and film. Special attention to written work and discussion allows them to become familiar with the concepts and terminology essential for original critical thinking.",3,Gasson Hall 307 M WF 12:00 Noon-12:50PM,Literature,SPAN3392 or instructor's permission,None,None,Undergraduate
SPAN3395.04,Contextos: Introduction to Literary Analysis in Spanish,"Crespo Jaramillo, Esteban",Spring 2026,"Contextos introduces students to the analysis of a wide range of Hispanic texts, including genres such as poetry, narrative, drama, essay, and film. Special attention to written work and discussion allows them to become familiar with the concepts and terminology essential for original critical thinking.",3,M cguinn Hall 400 M WF 01:00PM -01:50PM,Literature,SPAN3392 or instructor's permission,None,None,Undergraduate
UNAS1715.01,"/26, 5:48 PM Core Requirements - Morrissey College of Arts and Sciences - Boston College",,,"War and Peace: Historical and Literary Experiences Epstein, Thomas Spring 2026 This is an Enduring Question course and is open to FRESHM EN only. You must take both",,,,,,,
HIST1727,description of a perennial human situation? War and Peace is a great and massive novel. Its,"primary subject, the effect of the Napoleonic Wars on Russia, may seem distant from our",,"contemporary concerns. Yet its fundamental questions - ""How shall I live and what is worth dying for? Is war a necessary evil, or something greater, or different? How does our social- historical experience construct our identity?"" - are as relevant today as ever. Approaching these and other questions from our separate disciplines, we will attend both to the historical and literary context in whichWar and Peace was written and to the ways it speaks to us today. Spring 2026",3,Stokes Hall 103S TuTh 01:30PM -02:45PM,Literature,None,None,None,Undergraduate
APSY2217.01,Statistics for Applied Psychology,"Vasilyeva, Marina",Spring 2026,"This course provides an introduction to statistics with a focus on applications to the fields of human development and education. Students will learn the fundamentals of data analysis, including descriptive statistics, hypothesis testing, confidence intervals, and statistical inference. They will receive experience with statistical software that will allow them to address a wide range of research questions. The course will highlight examples from different areas of practice that require the application of psychology: human services, human resources, social policy, and education.",3,Campion Hall 131 TuTh 10:30AM -11:45AM,M athematics,Restricted to APSY M ajors and M inors,None,None,Undergraduate
APSY2217.02,Statistics for Applied Psychology,"Vasilyeva, Marina",Spring 2026,"This course provides an introduction to statistics with a focus on applications to the fields of human development and education. Students will learn the fundamentals of data analysis, including descriptive statistics, hypothesis testing, confidence intervals, and statistical inference. They will receive experience with statistical software that will allow them to address a wide range of research questions. The course will highlight examples from different areas of practice that require the application of psychology: human services, human resources, social policy, and education.",3,Campion Hall 131 TuTh 12:00 Noon-01:15PM,M athematics,Restricted to APSY M ajors and M inors,None,None,Undergraduate
BZAN1135.01,Statistical Analysis,"Boardman Liu, Linda",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 TuTh 09:00AM -10:15AM,M athematics,None,None,None,Undergraduate
BZAN1135.02,Statistical Analysis,"Boardman Liu, Linda",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 TuTh 10:30AM -11:45AM,M athematics,None,None,None,Undergraduate
BZAN1135.03,Statistical Analysis,"Chen, Daniel",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 TuTh 12:00 Noon-01:15PM,M athematics,None,None,None,Undergraduate
BZAN1135.04,Statistical Analysis,"Chen, Daniel",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 TuTh 01:30PM -02:45PM,M athematics,None,None,None,Undergraduate
BZAN1135.05,Statistical Analysis,"Chen, Daniel",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 TuTh 03:00PM -04:15PM,M athematics,None,None,None,Undergraduate
BZAN1135.06,Statistical Analysis,"Dizdarer, Tolga",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 M W 10:30AM -11:45AM,M athematics,None,None,None,Undergraduate
BZAN1135.07,Statistical Analysis,"Dizdarer, Tolga",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 M W 12:00 Noon-01:15PM,M athematics,None,None,None,Undergraduate
BZAN1135.08,Statistical Analysis,"Dizdarer, Tolga",Spring 2026,"This course provides an introduction to statistics with a focus on the analytical tools that are applicable to management practice and decision making. Statistical topics include descriptive statistics, probability, random variables, sampling distributions, estimation of parameters, hypothesis testing, and regression. Data handling and management skills are developed through extensive use of modern statistical programming tools and real data sets. Students will gain an understanding of statistical methods, the ability to formulate business questions as statistical models to test, and critical thinking skills to evaluate the results of those models.",3,Fulton Hall 220 M W 01:30PM -02:45PM,M athematics,None,None,None,Undergraduate
CSCI1101.01,Computer Science I,"Yun, Mira",Spring 2026,"Satisfies Core requirement for M athematics for CSCI1101 and CSCI1103. This course is an introduction to the art and science of computer programming and to some of the fundamental concepts of computer science. Students will write programs in the Python programming language. Good program design methodology will be stressed throughout. There will also be a study of some of the basic notions of computer science, including computer systems organization, files and some algorithms of fundamental importance.",3,245 Beacon Street Room 125A TuTh 03:00PM -04:15PM,M athematics,None,None,None,Undergraduate
CSCI1101.02,Computer Science I,"Griffith, William",Spring 2026,"Satisfies Core requirement for M athematics for CSCI1101 and CSCI1103. This course is an introduction to the art and science of computer programming and to some of the fundamental concepts of computer science. Students will write programs in the Python programming language. Good program design methodology will be stressed throughout. There will also be a study of some of the basic notions of computer science, including computer systems organization, files and some algorithms of fundamental importance.",3,245 Beacon Street Room 102 M W 03:00PM -04:15PM,M athematics,None,None,None,Undergraduate
CSCI1101.03,Computer Science I,"Creiner, Alexander",Spring 2026,"Satisfies Core requirement for M athematics for CSCI1101 and CSCI1103. This course is an introduction to the art and science of computer programming and to some of the fundamental concepts of computer science. Students will write programs in the Python programming language. Good program design methodology will be stressed throughout. There will also be a study of some of the basic notions of computer science, including computer systems organization, files and some algorithms of fundamental importance.",3,Fulton Hall 415 TuTh 12:00 Noon-01:15PM,M athematics,None,None,None,Undergraduate
CSCI1101.04,Computer Science I,"Yuan, Yuan",Spring 2026,"Satisfies Core requirement for M athematics for CSCI1101 and CSCI1103. This course is an introduction to the art and science of computer programming and to some of the fundamental concepts of computer science. Students will write programs in the Python programming language. Good program design methodology will be stressed throughout. There will also be a study of some of the basic notions of computer science, including computer systems organization, files and some algorithms of fundamental importance.",3,245 Beacon Street Room 214 M WF 11:00AM -11:50AM,M athematics,None,None,None,Undergraduate
MATH1004.01,Finite Probability and Applications,"Yan, Yuzheng",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Gasson Hall 302 M WF 09:00AM -09:50AM,M athematics,None,None,None,Undergraduate
MATH1004.02,Finite Probability and Applications,"Doherty, Amy L",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Gasson Hall 203 M WF 02:00PM -02:50PM,M athematics,None,None,None,Undergraduate
MATH1004.03,Finite Probability and Applications,"Doherty, Amy L",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Gasson Hall 203 M WF 03:00PM -03:50PM,M athematics,None,None,None,Undergraduate
MATH1004.04,Finite Probability and Applications,"Mahendraker, Siddharth",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Gasson Hall 204 M WF 12:00 Noon-12:50PM,M athematics,None,None,None,Undergraduate
MATH1004.05,Finite Probability and Applications,"Mahendraker, Siddharth",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Gasson Hall 204 M WF 01:00PM -01:50PM,M athematics,None,None,None,Undergraduate
MATH1004.06,Finite Probability and Applications,"Fanelle, Sophia M",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson (except for Psychology majors completing their second mathematics corequisite). This course, for students in the humanities, social sciences, and Lynch School of Education, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",3,Stokes Hall 217N M WF 10:00AM -10:50AM,M athematics,None,None,None,Undergraduate
MATH1007.01,Ideas in Mathematics,"Ward, Erika",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson.This course is designed to introduce the student to the spirit, beauty and vitality of mathematics. The emphasis is on development of ideas as well as problem solving skills. Topics vary, but are typically chosen from diverse areas such as geometry, number theory, probability and graph theory.Some terms, the sections are also centered around a theme such as ""math and democracy"" or ""math and games.""See the M ath Department Website (links to web/schools/morrissey/departments/math/undergraduate/course-offerings.html)for information about this coming term.",3,Gasson Hall 205 M WF 11:00AM -11:50AM,M athematics,None,None,None,Undergraduate
MATH1007.02,Ideas in Mathematics,"Ward, Erika",Spring 2026,"Not open to students who have completed their M athematics Core Curriculum Requirement without permission of the Department Chairperson.This course is designed to introduce the student to the spirit, beauty and vitality of mathematics. The emphasis is on development of ideas as well as problem solving skills. Topics vary, but are typically chosen from diverse areas such as geometry, number theory, probability and graph theory.Some terms, the sections are also centered around a theme such as ""math and democracy"" or ""math and games.""See the M ath Department Website (links to web/schools/morrissey/departments/math/undergraduate/course-offerings.html)for information about this coming term.",3,Gasson Hall 205 M WF 12:00 Noon-12:50PM,M athematics,None,None,None,Undergraduate
MATH1100.01,Calculus I,"Sconce, Dalton Ray",Spring 2026,"M ATH1100 is not open to students who have completed a calculus course at the college level. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics, or Physics should enroll in M ATH1102.For further information about selecting your M ath courses given your background, please see this link to the BC M ath Department. M ATH1100 is a first course in the calculus of one variable intended for biology, computer science, economics, management, and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. Topics include a brief review of polynomials and trigonometric, exponential, and logarithmic functions, followed by discussion of limits, derivatives, and applications of differential calculus to real-world problem areas. The course concludes with an introduction to integration.",4,Fulton Hall 230 M WF 01:00PM -01:50PM,M athematics,None,None,None,Undergraduate
MATH1100.02,Calculus I,"Paul, Arijit",Spring 2026,"M ATH1100 is not open to students who have completed a calculus course at the college level. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics, or Physics should enroll in M ATH1102.For further information about selecting your M ath courses given your background, please see this link to the BC M ath Department. M ATH1100 is a first course in the calculus of one variable intended for biology, computer science, economics, management, and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. Topics include a brief review of polynomials and trigonometric, exponential, and logarithmic functions, followed by discussion of limits, derivatives, and applications of differential calculus to real-world problem areas. The course concludes with an introduction to integration.",4,Fulton Hall 230 M WF 02:00PM -02:50PM,M athematics,None,None,None,Undergraduate
MATH1100.16,Calculus I,"Moss, Eric",Spring 2026,"M ATH1100 is not open to students who have completed a calculus course at the college level. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics, or Physics should enroll in M ATH1102.For further information about selecting your M ath courses given your background, please see this link to the BC M ath Department. M ATH1100 is a first course in the calculus of one variable intended for biology, computer science, economics, management, and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. Topics include a brief review of polynomials and trigonometric, exponential, and logarithmic functions, followed by discussion of limits, derivatives, and applications of differential calculus to real-world problem areas. The course concludes with an introduction to integration.",4,Fulton Hall 230 M WF 09:00AM -09:50AM,M athematics,None,None,None,Undergraduate
MATH1100.17,Calculus I,"Moss, Eric",Spring 2026,"M ATH1100 is not open to students who have completed a calculus course at the college level. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics, or Physics should enroll in M ATH1102.For further information about selecting your M ath courses given your background, please see this link to the BC M ath Department. M ATH1100 is a first course in the calculus of one variable intended for biology, computer science, economics, management, and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. Topics include a brief review of polynomials and trigonometric, exponential, and logarithmic functions, followed by discussion of limits, derivatives, and applications of differential calculus to real-world problem areas. The course concludes with an introduction to integration.",4,Fulton Hall 230 M WF 10:00AM -10:50AM,M athematics,None,None,None,Undergraduate
MATH1101.03,Calculus II,"Boninger, Joseph",Spring 2026,"M ATH1101 is not open to students who have completed M ATH1103. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics or Physics should enroll in M ATH1103. For further information about selecting your M ath courses given your background, please see this link to theBC M ath Department. M ATH1101 is a second course in the calculus of one variable intended for students studying life or social sciences, such as biology, neuroscience, economics, management and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. There are three main topics: integration (definition of integration, basic techniques for integration, and select applications); an introduction to differential equations (with applications to population modeling and other contexts); an introduction to multivariable functions and partial derivatives (with application to optimization in economics and other contexts).",4,Gasson Hall 210 M WF 01:00PM -01:50PM,M athematics,None,None,None,Undergraduate
MATH1101.04,Calculus II,"Boninger, Joseph",Spring 2026,"M ATH1101 is not open to students who have completed M ATH1103. Students contemplating majors in Chemistry, Computer Science B.A. or B.S., Environmental Geosciences, Geological Sciences, M athematics or Physics should enroll in M ATH1103. For further information about selecting your M ath courses given your background, please see this link to theBC M ath Department. M ATH1101 is a second course in the calculus of one variable intended for students studying life or social sciences, such as biology, neuroscience, economics, management and premedical students. It is open to others who are qualified and desire a more rigorous mathematics course at the core level. There are three main topics: integration (definition of integration, basic techniques for integration, and select applications); an introduction to differential equations (with applications to population modeling and other contexts); an introduction to multivariable functions and partial derivatives (with application to optimization in economics and other contexts).",4,Gasson Hall 210 M WF 02:00PM -02:50PM,M athematics,None,None,None,Undergraduate
MATH1103.01,Calculus II (Mathematics/Science Majors),"Wolf, Jamison B",Spring 2026,"M ATH1103 is a continuation of M ATH1102. Topics covered in the course include several algebraic techniques of integration, many applications of integration, and infinite sequences and series. Prerequisite: Calculus I",4,245 Beacon Street Room 230 M WF 01:00PM -01:50PM,M athematics,None,None,None,Undergraduate
MATH1103.02,Calculus II (Mathematics/Science Majors),"Wolf, Jamison B",Spring 2026,"M ATH1103 is a continuation of M ATH1102. Topics covered in the course include several algebraic techniques of integration, many applications of integration, and infinite sequences and series. Prerequisite: Calculus I",4,245 Beacon Street Room 230 M WF 02:00PM -02:50PM,M athematics,None,None,None,Undergraduate
MATH1103.06,Calculus II (Mathematics/Science Majors),"Hameister, Thomas",Spring 2026,"M ATH1103 is a continuation of M ATH1102. Topics covered in the course include several algebraic techniques of integration, many applications of integration, and infinite sequences and series. Prerequisite: Calculus I",4,Gasson Hall 210 M WF 09:00AM -09:50AM,M athematics,None,None,None,Undergraduate
MATH1103.07,Calculus II (Mathematics/Science Majors),"Hameister, Thomas",Spring 2026,"M ATH1103 is a continuation of M ATH1102. Topics covered in the course include several algebraic techniques of integration, many applications of integration, and infinite sequences and series. Prerequisite: Calculus I",4,Gasson Hall 210 M WF 10:00AM -10:50AM,M athematics,None,None,None,Undergraduate
MATH1180.01,Principles of Statistics for the Health Sciences,"Zhang, Liyang",Spring 2026,"This course introduces statistics as a liberal arts discipline and applies the principles of statistics to problems of interest for health sciences professionals. Students will gain an understanding of statistical ideas and methods, acquire the ability to deal critically with numerical arguments and gain an understanding of the impact of statistical ideas on the health sciences, public policy, and other areas of application.",3,Gasson Hall 209 M WF 02:00PM -02:50PM,M athematics,Open to Connell School of Nursing students only.,None,None,Undergraduate
MATH1180.02,Principles of Statistics for the Health Sciences,,,"DEPT Spring 2026 This course introduces statistics as a liberal arts discipline and applies the principles of statistics to problems of interest for health sciences professionals. Students will gain an understanding of statistical ideas and methods, acquire the ability to deal critically with numerical arguments and gain an understanding of the impact of statistical ideas on the health sciences, public policy, and other areas of application.",3,Gasson Hall 310 M WF 09:00AM -09:50AM,M athematics,Open to Connell School of Nursing students only.,None,None,Undergraduate
MATH1180.03,Principles of Statistics for the Health Sciences,"Wattal, Mira",Spring 2026,"This course introduces statistics as a liberal arts discipline and applies the principles of statistics to problems of interest for health sciences professionals. Students will gain an understanding of statistical ideas and methods, acquire the ability to deal critically with numerical arguments and gain an understanding of the impact of statistical ideas on the health sciences, public policy, and other areas of application.",3,Gasson Hall 302 M WF 11:00AM -11:50AM,M athematics,Open to Connell School of Nursing students only.,None,None,Undergraduate
MATH1180.04,Principles of Statistics for the Health Sciences,"Wang, Mujie",Spring 2026,"This course introduces statistics as a liberal arts discipline and applies the principles of statistics to problems of interest for health sciences professionals. Students will gain an understanding of statistical ideas and methods, acquire the ability to deal critically with numerical arguments and gain an understanding of the impact of statistical ideas on the health sciences, public policy, and other areas of application.",3,Higgins Hall 265 M WF 01:00PM -01:50PM,M athematics,Open to Connell School of Nursing students only.,None,None,Undergraduate
MATH1180.05,Principles of Statistics for the Health Sciences,"Liu, Tianxiang",Spring 2026,"This course introduces statistics as a liberal arts discipline and applies the principles of statistics to problems of interest for health sciences professionals. Students will gain an understanding of statistical ideas and methods, acquire the ability to deal critically with numerical arguments and gain an understanding of the impact of statistical ideas on the health sciences, public policy, and other areas of application.",3,245 Beacon Street Room 230 M WF 12:00 Noon-12:50PM,M athematics,Open to Connell School of Nursing students only.,None,None,Undergraduate
MATH1191.01,Fundamentals of Mathematics II,"Belding, Juliana V",Spring 2026,"Restricted to Lynch School of Education students.. As in M ATH1190, this course emphasizes building conceptual understanding of the mathematics present in the emerging K-8 curriculum and on deepening the content knowledge. Topics drawn from geometry and measurement, data analysis, statistics, and probability will be developed. Problem solving and reasoning, applications, and making connections will be featured.",3,Gasson Hall 310 M WF 10:00AM -10:50AM,M athematics,M ATH1190,None,None,Undergraduate
